,price,minimum_nights,availability_365,number_of_reviews,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
0,225,10,1,48,0,0,1,0,0,1,0,0,0
1,89,1,1,295,0,1,0,0,0,1,0,0,0
2,200,3,19,78,0,0,1,0,0,1,0,0,0
3,60,29,365,49,0,1,0,0,0,0,0,1,0
4,79,2,242,454,0,0,1,0,0,0,0,1,0
5,79,2,0,118,0,0,1,0,0,0,0,1,0
6,150,1,1,161,0,0,1,0,0,1,0,0,0
7,85,3,10,204,0,0,1,0,0,0,0,1,0
8,89,4,0,175,0,1,0,0,0,0,0,1,0
9,120,180,271,27,0,0,1,0,0,1,0,0,0
10,140,2,0,170,0,1,0,0,0,1,0,0,0
11,199,1,0,215,0,1,0,0,0,1,0,0,0
12,120,1,26,296,0,0,1,0,0,0,0,1,0
13,99,3,63,75,0,1,0,0,0,1,0,0,0
14,190,7,350,0,0,0,1,0,0,1,0,0,0
15,299,3,1,9,0,1,0,0,0,1,0,0,0
16,115,1,0,143,0,1,0,0,0,0,0,1,0
17,80,1,150,41,0,1,0,0,0,0,0,1,0
18,32,2,0,77,0,1,0,0,0,0,0,1,0
19,120,2,296,105,0,1,0,0,0,1,0,0,0
20,60,1,78,23,0,1,0,0,0,0,0,1,0
21,80,4,0,0,0,0,1,0,0,0,0,1,0
22,44,3,353,114,0,0,1,0,0,0,0,1,0
23,180,10,86,33,0,0,1,0,0,1,0,0,0
24,50,3,361,256,0,0,1,0,0,0,0,1,0
25,52,2,326,97,0,0,1,0,0,0,0,1,0
26,55,4,331,212,0,1,0,0,0,0,0,1,0
27,50,3,1,286,0,0,1,0,0,0,0,1,0
28,70,1,251,75,0,1,0,0,0,0,0,1,0
29,89,4,349,177,0,1,0,0,0,0,0,1,0
30,98,2,8,70,0,1,0,0,0,1,0,0,0
31,85,2,43,253,0,1,0,0,0,1,0,0,0
32,150,1,365,0,0,1,0,0,0,0,0,1,0
33,40,1,0,219,0,0,1,0,0,0,0,0,1
34,68,2,62,258,0,0,1,0,0,0,0,1,0
35,135,4,287,89,0,0,1,0,0,0,0,1,0
36,150,7,1,106,0,0,1,0,0,1,0,0,0
37,150,29,61,12,0,1,0,0,0,1,0,0,0
38,130,2,189,269,0,0,0,1,0,0,0,1,0
39,110,7,339,64,0,1,0,0,0,1,0,0,0
40,120,3,0,12,0,1,0,0,0,1,0,0,0
41,80,3,281,142,0,1,0,0,0,0,0,1,0
42,80,1,223,135,0,1,0,0,0,0,0,1,0
43,151,3,56,86,0,0,1,0,0,1,0,0,0
44,228,3,170,88,0,1,0,0,0,1,0,0,0
45,149,2,269,366,0,1,0,0,0,1,0,0,0
46,200,7,324,19,0,0,1,0,0,1,0,0,0
47,150,30,0,111,0,1,0,0,0,1,0,0,0
48,85,3,310,20,0,0,1,0,0,0,0,1,0
49,110,5,323,19,0,0,1,0,0,0,0,1,0
50,69,2,1,311,0,0,1,0,0,0,0,1,0
51,49,4,353,146,0,1,0,0,0,0,0,1,0
52,180,14,11,25,0,0,1,0,0,1,0,0,0
53,90,2,221,46,0,1,0,0,0,0,0,1,0
54,375,180,179,5,0,0,1,0,0,1,0,0,0
55,250,2,232,75,0,0,1,0,0,1,0,0,0
56,89,12,1,25,0,1,0,0,0,0,0,1,0
57,200,30,335,147,0,1,0,0,0,1,0,0,0
58,45,7,240,27,0,1,0,0,0,0,0,1,0
59,52,30,235,193,0,0,1,0,0,0,0,1,0
60,225,3,0,4,0,1,0,0,0,1,0,0,0
61,80,1,136,379,0,0,1,0,0,0,0,1,0
62,250,1,363,163,0,1,0,0,0,1,0,0,0
63,99,1,356,113,0,0,1,0,0,0,0,1,0
64,225,4,0,206,0,0,1,0,0,1,0,0,0
65,260,5,176,51,0,0,1,0,0,1,0,0,0
66,51,5,116,27,0,0,1,0,0,0,0,1,0
67,65,2,358,59,0,0,1,0,0,0,0,1,0
68,105,2,0,124,0,1,0,0,0,0,0,1,0
69,170,5,333,21,0,0,1,0,0,1,0,0,0
70,90,7,143,20,0,0,0,1,0,0,0,1,0
71,95,3,0,150,0,1,0,0,0,0,0,1,0
72,150,4,296,180,0,0,1,0,0,0,0,1,0
73,145,3,324,63,0,1,0,0,0,0,0,1,0
74,110,31,190,55,0,0,1,0,0,1,0,0,0
75,285,5,1,76,0,0,1,0,0,1,0,0,0
76,130,6,94,17,0,1,0,0,0,1,0,0,0
77,2000,1,93,25,0,1,0,0,0,1,0,0,0
78,105,3,295,61,0,1,0,0,0,1,0,0,0
79,60,3,67,208,0,0,1,0,0,0,0,1,0
80,50,1,0,2,0,0,1,0,0,0,0,1,0
81,85,3,1,190,0,1,0,0,0,0,0,1,0
82,85,1,331,32,0,1,0,0,0,0,0,1,0
83,65,5,280,30,0,1,0,0,0,0,0,1,0
84,135,3,0,186,0,1,0,0,0,1,0,0,0
85,98,7,342,18,0,1,0,0,0,0,0,1,0
86,250,21,158,23,0,1,0,0,0,1,0,0,0
87,105,3,0,131,0,1,0,0,0,1,0,0,0
